symbol,year_label,document_url
DMART,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/540376/5403760317.pdf
DRREDDY,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/cb3e5286-9df0-4e11-a250-fa17688f8266.pdf
DRREDDY,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//e6b6312d-b8a3-4af8-958b-2564271685e7.pdf
DRREDDY,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/500124/73517500124.pdf
DRREDDY,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/500124/68726500124.pdf
DRREDDY,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240320.pdf
DRREDDY,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240319.pdf
DRREDDY,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240318.pdf
DRREDDY,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240317.pdf
DRREDDY,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240316.pdf
DRREDDY,Mar 2015,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240315.pdf
DRREDDY,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240314.pdf
DRREDDY,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240313.pdf
DRREDDY,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240312.pdf
EICHERMOT,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/717238ca-0a65-4a34-9441-893ddeea9f2f.pdf
EICHERMOT,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//857d13f1-9d43-4eac-b527-ed0df0099697.pdf
EICHERMOT,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/505200/74102505200_07_09_22.pdf
EICHERMOT,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/505200/69102505200.pdf
EICHERMOT,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/505200/5052000320.pdf
EICHERMOT,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/505200/5052000318.pdf
EICHERMOT,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/505200/5052000317.pdf
EICHERMOT,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/505200/5052000316.pdf
EICHERMOT,Mar 2015,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2015/EICHER_MOTORS_LTD-505200-MARCH-2015.PDF
EICHERMOT,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/505200/5052001214.pdf
EICHERMOT,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/505200/5052001213.pdf
EICHERMOT,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/505200/5052001212.pdf
EICHERMOT,Mar 2011,https://www.bseindia.com/bseplus/AnnualReport/505200/5052001211.pdf
GAIL,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a3d9f45c-7451-469c-a953-87d895e6fcb2.pdf
GAIL,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//18f9ed26-4838-4cf6-b1d5-bac8483dbd38.pdf
GAIL,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/532155/74034532155.pdf
GAIL,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/532155/69529532155.pdf
GAIL,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/532155/65117532155.pdf
GAIL,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550319.pdf
GAIL,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550318.pdf
GAIL,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550317.pdf
GAIL,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550316.pdf
GAIL,Mar 2015,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550315.pdf
GAIL,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550314.pdf
GAIL,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550313.pdf
GAIL,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550312.pdf
GAIL,Mar 2011,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550311.pdf
GODREJCP,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a96872e8-1acd-4801-91bf-ae002661701a.pdf
GODREJCP,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//5832fc49-7be6-4ab2-ac1f-e570fbe601eb.pdf
GODREJCP,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/532424/73620532424.pdf
GODREJCP,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/532424/68872532424.pdf
GODREJCP,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240320.pdf
GODREJCP,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240319.pdf
GODREJCP,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240318.pdf
GODREJCP,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240317.pdf
GODREJCP,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240316.pdf
GODREJCP,Mar 2015,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240315.pdf
GODREJCP,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240314.pdf
GODREJCP,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240313.pdf
GODREJCP,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240312.pdf
GODREJCP,Mar 2011,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240311.pdf
GRASIM,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/75634dc7-b3e7-4ad8-8a6e-9fdb0197c4af.pdf
GRASIM,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//b2b3b44f-8a97-4b59-9781-b4cbf1b4c25d.pdf
GRASIM,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/500300/74157500300.pdf
GRASIM,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/500300/69239500300.pdf
GRASIM,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/500300/64913500300.pdf
GRASIM,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000319.pdf
GRASIM,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000318.pdf
GRASIM,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000317.pdf
GRASIM,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000316.pdf
GRASIM,Mar 2015,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000315.pdf
GRASIM,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000314.pdf
GRASIM,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000313.pdf
GRASIM,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000312.pdf
GRASIM,Mar 2011,https://www.bseindia.com/bseplus/AnnualReport/500300/5003000311.pdf
HAL,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7e7c2a0a-f366-4aff-8d47-0818d45fae58.pdf
HAL,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//89b72e9c-4ab7-474f-bbbc-6238b2a832ce.pdf
HAL,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/541154/74651541154.pdf
HAL,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/541154/71409541154.pdf
HAL,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/541154/65527541154.pdf
HAL,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/541154/5411540319.pdf
HAL,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/541154/5411540318.pdf
HAL,Mar 2017,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2017/HINDUSTAN_AERONAUTICS_LTD-541154-MARCH-2017.PDF
HAL,Mar 2016,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2016/HINDUSTAN_AERONAUTICS_LTD-541154-MARCH-2016.PDF
HAL,Mar 2015,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2015/HINDUSTAN_AERONAUTICS_LTD-541154-MARCH-2015.PDF
HAL,Mar 2014,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2014/HINDUSTAN_AERONAUTICS_LTD-541154-MARCH-2014.PDF
